time_period,parse_lane_name(vehicle_lane),min(vehicle_CO2),max(vehicle_CO2),avg(vehicle_CO2),stddev(vehicle_CO2)
0.0,977757276,0.0,15814.59,8736.550714285713,3748.2912415895926
0.0,1102900327,0.0,24039.64,5245.042857142857,7096.923327504702
1.0,170993800,0.0,43507.27,6204.423820319069,7609.586488375611
1.0,cluster_2605248062_304829075_304829200_304829608_,0.0,33897.91,5025.955891472869,5845.358915231197
1.0,217698402,0.0,27353.45,5400.072653061225,6815.559280076476
1.0,722947723,0.0,66647.99,13605.20814814815,17400.869600786715
1.0,633562902,0.0,21850.87,11456.146,7735.161052042808
1.0,815849127,0.0,16897.99,4201.8127173913035,4214.1928121392275
1.0,251136574,0.0,32890.05,7924.3488888888905,10631.191164333897
1.0,361387955,0.0,7687.89,1451.5011111111114,2627.0629032126567
1.0,294492608,0.0,9204.56,2434.2275806451607,2712.1565741025643
1.0,632242186,0.0,25877.03,15947.144,9848.297173878842
0.0,355613603,0.0,14457.97,4005.9262499999995,4717.507159146485
0.0,353770666,0.0,16893.5,4306.984782608694,4972.328079033428
0.0,251136547,0.0,38496.99,12979.408333333333,17381.95211501449
0.0,52493439,0.0,9556.62,4507.62375,3320.3225964091207
0.0,762743103,0.0,5437.2,2829.1850000000004,1928.893856196401
0.0,736421288,0.0,9158.02,2555.216875,2786.2330492111123
1.0,917870259,0.0,31068.73,3929.0483495145595,4277.83098923573
1.0,229732627,0.0,37822.49,5153.171003861008,6463.187039399892
1.0,295081898,0.0,9714.17,2346.3425949367092,1920.886472334169
1.0,5519180248,0.0,21321.24,2999.656666666667,5395.98545665201
1.0,97789005,0.0,31135.89,6478.252300884955,5626.534359751983
1.0,569847095,5884.41,21135.26,14055.933333333334,7683.86469165311
1.0,1124412513,0.0,5001.23,2277.170833333335,1015.6967693236737
1.0,250712698,0.0,34647.9,5955.452000000001,11709.020949827041
1.0,251136502,0.0,28153.45,14076.725,19907.495408796407
1.0,188661337,0.0,9966.94,4387.637083333334,3214.958753170369
1.0,23217604,0.0,29908.22,6005.495000000001,8240.428968548473
1.0,429282753,0.0,20507.63,2273.4376923076925,5689.197450529773
1.0,251136570,0.0,21889.59,8150.17875,6306.501706915395
1.0,678788075,0.0,7588.46,4236.466666666666,3870.7752583860165
0.0,363391447,0.0,36357.69,6477.406875000001,7355.59023845105
