time_period,parse_lane_name(vehicle_lane),min(vehicle_HC),max(vehicle_HC),avg(vehicle_HC),stddev(vehicle_HC)
1.0,824855226,0.0,8.17,1.3789285714285715,2.5898095729876793
1.0,599115094,0.69,8.93,4.22,3.5112228232178193
1.0,250713331,0.0,0.0,0.0,0.0
1.0,251136666,0.0,8.96,3.0575,3.5729418317869848
1.0,95663502,0.0,7.36,1.7032142857142856,2.5435802320401444
1.0,847943121,0.0,0.81,0.5577777777777777,0.3231786571610886
1.0,353745422,0.0,0.06,0.03,0.042426406871192854
1.0,251144942,0.66,0.78,0.7250000000000001,0.055075705472861024
1.0,353767238,0.0,5.13,1.1668181818181815,1.91092943320817
1.0,250706959,0.0,9.54,1.2272,1.9574842928505853
0.0,717094465,0.0,7.88,1.6214814814814815,2.700951735551337
0.0,651939717,0.0,1.1,0.55,0.7778174593052023
0.0,32015470,0.0,8.47,1.4919008264462807,2.6961723838464
0.0,844627879,0.0,9.54,1.6020689655172413,2.4263059486725544
0.0,250711640,0.0,6.73,1.1328125000000002,1.9976812919869973
0.0,336340899,0.0,0.32,0.08428571428571428,0.11501552690211625
0.0,97797191,0.0,10.44,3.3925,4.139053549510357
0.0,97839372,0.0,7.26,1.484,3.229625365270715
0.0,250711246,0.0,0.44,0.156,0.18256505689753447
0.0,790313138,0.0,5.43,1.8030000000000002,2.3316853704277225
0.0,844173290,1.07,7.68,4.375,4.673975823643079
0.0,95663389,0.62,6.68,2.92,3.283230116820933
0.0,98350957,0.0,2.97,0.6181818181818183,0.8212772757335758
1.0,cluster,0.0,12.54,1.739223821027223,2.365846326531
1.0,51249737,0.0,7.55,0.9534285714285717,2.150551150775271
1.0,299500105,0.0,0.9,0.40155913978494623,0.3071635522566631
1.0,286070639,0.0,9.88,1.8417283950617291,2.6423151387054853
1.0,300401175,0.0,6.93,1.7128301886792447,2.387985453955255
1.0,97788192,0.0,8.84,2.205416666666667,2.7475712265430965
1.0,32357785,0.0,6.87,0.8274719101123611,1.0515363050800557
1.0,651948525,0.0,7.36,1.9136363636363634,2.3120835005761284
1.0,7772846303,0.0,0.51,0.255,0.36062445840513924
1.0,359095416,0.0,8.2,0.9876923076923075,2.064742710736246
1.0,251137125,0.24,8.11,3.8875,3.874182709510054
1.0,355613297,0.0,0.46,0.04181818181818182,0.13869521850577127
1.0,962356556,0.0,6.22,0.5790909090909091,1.871119742536295
1.0,251137014,0.0,6.82,1.2816666666666667,2.735444509886221
