time_period,parse_lane_name(vehicle_lane),min(vehicle_CO),max(vehicle_CO),avg(vehicle_CO),stddev(vehicle_CO)
0.0,653972809,0.0,722.61,122.99916666666667,151.62113667908292
0.0,661080463,0.0,258.22,57.061160714285656,56.58014294636359
0.0,6217316409,0.0,189.36,33.51810000000001,39.46486673554779
0.0,2251695465,0.0,216.46,38.98166666666666,71.52194511709908
0.0,254731664,0.0,388.61,142.49090909090907,105.227181132495
0.0,5630810693,0.0,140.96,37.585,69.05837409998395
0.0,31616993,0.0,157.89,46.456250000000004,51.189484531518424
0.0,355614383,0.0,0.0,0.0,0.0
0.0,824076878,0.0,119.51,17.021538461538462,36.22882343433054
0.0,281538399,0.0,148.44,32.228484848484854,35.54001806165613
0.0,51249829,0.0,164.78,66.8423076923077,61.21575398455398
0.0,23184181,0.0,78.63,21.393928571428567,21.723611721279944
1.0,167907746,0.0,320.29,92.26957089552212,75.51957925957385
1.0,4458927012,0.0,164.78,92.84480769230774,61.71854863054001
1.0,881725981,0.0,187.65,121.45125000000002,63.76041773422487
1.0,388172051,0.0,152.73,90.62966666666668,53.62003424373068
1.0,250691272,0.0,164.74,41.879090909090905,60.50653856008231
1.0,52493494,0.0,164.67,43.969512195121965,49.80885289704634
1.0,251144202,0.0,58.5,6.5,19.5
0.0,52080446,0.0,392.46,70.99873913043473,79.10648491776882
0.0,2251695463,37.2,178.15,109.46461538461539,51.83149084861194
0.0,300401174,0.0,206.39,93.93880952380952,67.82467764288211
0.0,6693647589,0.0,178.97,38.69342465753425,48.172404451187894
0.0,651939721,0.0,0.0,0.0,
0.0,97846073,0.0,407.44,81.41166666666669,68.91457440295156
0.0,7206257345,0.0,147.8,34.441250000000004,63.99798578024602
0.0,300400470,0.0,289.96,102.19799999999996,64.50148332995688
0.0,824855111,0.0,134.71,56.55545454545454,60.51664011440102
0.0,11270494938,0.0,109.42,69.77,60.610188087482456
0.0,33878525,0.0,234.2,53.110362318840586,61.43036857352757
0.0,58704893,0.0,179.19,86.7286046511628,79.60185055821478
1.0,10971766,0.0,223.13,124.50671885025737,64.19836900762634
1.0,8446047162,0.0,690.22,88.34578703703704,69.82875273277408
1.0,6217316409,0.0,732.44,38.587375565610856,64.19309730230233
1.0,250708523,0.0,574.69,88.1703448275862,105.9829883075163
1.0,355614382,99.0,140.64,114.04666666666667,23.096894452140813
1.0,97788848,0.0,146.2,87.78620689655173,51.72184122881283
1.0,251136893,0.0,177.1,66.97444444444444,54.4619478840067
1.0,95663389,0.0,156.64,62.83111111111113,57.03402174238734
1.0,7028966386,0.0,0.0,0.0,0.0
1.0,66867991,0.0,135.16,51.167078651685394,58.237988562649456
1.0,444373170,0.0,65.36,9.422916666666667,16.705785334801902
1.0,250708642,6.16,145.92,76.03999999999999,98.82524373863187
0.0,636742499,0.0,356.28,42.13930232558138,61.19109938719363
0.0,359095626,0.0,209.58,41.17790697674419,64.44046663978347
0.0,565056728,0.0,147.8,97.86555555555555,57.96030001455978
0.0,359093585,0.0,163.66,64.32923076923076,55.76583971738088
0.0,916426354,0.0,154.57,65.18166666666667,66.82146583745876
0.0,353767898,0.0,382.33,59.48727272727274,78.28144409796887
0.0,300401271,9.34,93.84,51.59,59.750523010263265
0.0,23216711,0.0,38.33,26.796666666666667,14.259524068729174
0.0,70241716,0.0,798.12,184.77176470588233,174.9247770555709
0.0,1062776897,0.0,148.11,97.89999999999999,56.629912590432276
0.0,650854043,0.0,63.74,31.87,45.07098623283054
0.0,64095314,0.0,164.78,119.79620689655178,66.86642214219721
1.0,359096253,0.0,240.83,62.38382978723404,66.13532731081287
1.0,824076914,0.0,150.32,21.663703703703703,46.1557348006264
1.0,359095613,0.0,120.5,69.42,52.88946090668726
1.0,250692409,0.0,222.72,102.82124999999999,86.09619925865319
1.0,815855464,0.0,188.0,70.58987804878049,53.47683561036988
1.0,353768131,0.0,124.48,36.41272727272727,51.30203272598642
