time_period,parse_lane_name(vehicle_lane),min(vehicle_PMx),max(vehicle_PMx),avg(vehicle_PMx),stddev(vehicle_PMx)
1.0,1003125434,0.0,7.58,1.6038461538461541,2.716155121220792
1.0,355613605,0.0,0.71,0.118125,0.16590032147849101
1.0,760071188,0.0,6.28,0.34663366336633666,1.231551279669444
1.0,359095748,0.0,3.99,1.6443478260869566,1.5820579982672642
1.0,360079267,0.05,5.38,0.9937500000000001,1.8299649359117969
1.0,299656748,0.0,5.0,1.3209090909090908,2.1442222578149615
1.0,166102331,0.0,0.13,0.06999999999999999,0.054160256030906406
1.0,2426934202,0.0,5.38,1.7933333333333332,3.1061444482401868
1.0,250713287,0.0,0.0,0.0,
0.0,1033862865,0.0,3.56,0.6963333333333332,1.2148775540211318
0.0,803870831,0.0,4.9,0.8437735849056603,1.5462413813143225
0.0,702078729,0.0,9.02,3.599896907216496,2.792261439692656
0.0,838111477,0.0,4.52,0.8725000000000003,1.4856778620136395
0.0,251144049,0.0,0.03,0.015,0.021213203435596427
0.0,907161584,0.0,0.17,0.04777777777777778,0.06159906204192111
0.0,251136322,0.0,5.52,0.9179109589041097,1.419794798692738
0.0,664511606,0.0,5.92,1.5165573770491807,1.999856565894916
0.0,298298663,0.0,6.65,1.6026829268292682,2.4016192708152593
0.0,763490838,0.0,8.25,1.233888888888889,2.4978945221976767
0.0,64094578,0.0,5.66,0.7088277727682628,1.3022347066260118
0.0,10976958,0.0,0.22,0.061555555555555565,0.06237553262864431
0.0,2511789010,0.0,0.17,0.09799999999999995,0.06442049363362563
0.0,355613135,0.0,0.09,0.045,0.06363961030678927
1.0,311408820,0.0,6.35,1.3156773211567745,1.335744701623317
1.0,482987489,0.0,7.0,0.427790492957744,1.0241104678408746
1.0,10976420,0.0,4.37,0.4145454545454546,1.0876823374188196
1.0,364104830,0.0,2.95,0.5299999999999999,1.0008496390567367
1.0,662180431,0.0,6.62,1.7021556886227547,2.0344178527805656
1.0,359095745,0.0,4.56,1.405625,1.6205115430907373
1.0,824855321,0.0,4.67,1.3195652173913042,1.8955797344465015
1.0,767329069,0.0,4.12,0.6050000000000001,1.3506736211125288
1.0,49747751,0.0,5.6,0.8489940828402349,1.3082986187905554
1.0,359093585,0.0,7.3,1.0088461538461537,1.8592392571653102
1.0,304829205,0.0,6.44,0.7089999999999999,1.3952193005229407
1.0,250756985,0.0,5.32,0.560307692307692,1.083762884537937
1.0,712030315,0.0,3.48,0.5522727272727272,1.006608882340241
1.0,251144772,0.13,7.01,1.1075,2.387884598790917
1.0,95663472,0.01,0.34,0.16428571428571428,0.1533902585843424
1.0,5062598102,0.0,0.0,0.0,
1.0,285118922,0.0,3.66,1.2243478260869565,1.392345392386388
1.0,651939720,0.0,3.83,1.2249999999999999,1.871103952216445
0.0,359094245,0.0,0.09,0.041333333333333326,0.041724721460452925
0.0,5519180248,0.0,3.59,0.6038888888888888,1.2978404637246619
0.0,68612577,0.0,0.07,0.0275,0.03278719262151001
0.0,353746845,0.0,3.76,0.757,1.3182608159796636
0.0,916452612,0.0,7.23,1.7597802197802197,2.104301403222551
0.0,300398465,0.0,6.11,0.7040659340659341,1.303612909504435
0.0,824855114,0.0,2.86,0.7439999999999999,1.1280691468168074
0.0,221139568AddedOffRampNode,0.02,4.04,0.6461538461538462,1.379042774666172
0.0,359095411,0.0,0.14,0.035,0.07
0.0,23184216,0.0,5.29,0.7475816993464052,1.4752024955309622
0.0,31620003,0.0,5.13,0.7669117647058823,1.5078869839206903
0.0,286070634,0.0,1.3,0.15851851851851853,0.29133253143897936
0.0,353746851,0.0,0.01,0.0016666666666666668,0.004082482904638631
0.0,86378187,0.0,0.2,0.10285714285714287,0.08596787882968958
0.0,844173317,0.2,3.12,2.14,1.6801190434013895
0.0,359094908,0.0,3.23,0.34266666666666673,0.820996490915301
0.0,23182990,0.0,0.31,0.11636363636363643,0.0906021755188815
0.0,365528693,0.01,0.01,0.01,
0.0,56464361,0.0,0.1,0.06500000000000002,0.02010109584211901
0.0,250699928,0.0,0.18,0.049999999999999996,0.0660807586719967
1.0,32227388,0.0,0.06,0.033571428571428565,0.02619663597227202
1.0,97788195,0.0,5.22,1.268372093023256,1.5264861307986848
1.0,1050850172,0.0,5.11,1.1814748201438834,1.1348052765162722
1.0,49292938,0.0,5.93,0.9702173913043479,1.5960844797526867
1.0,1209362820,0.0,4.5,1.2239583333333333,1.6233125308131628
1.0,299656284,0.0,8.04,1.3037037037037036,2.225793415720289
1.0,251137620,0.17,4.34,2.255,2.948635277547903
1.0,469892959,0.0,0.56,0.2154385964912281,0.135949966839677
1.0,250712970,0.1,4.44,0.9009090909090909,1.7155783546399421
1.0,60958842,0.0,4.01,1.662173913043478,1.541463167140939
0.0,359096480,0.08,5.12,0.61,1.252277924424127
0.0,52176359,0.0,2.44,0.6475,1.066137889768486
1.0,734712582,0.0,0.32,0.08447368421052627,0.07435115253549901
1.0,23184225,0.0,5.66,0.5991326530612233,1.1689939891197303
1.0,86438974,0.0,6.08,0.7365244536940677,1.2978495000044539
1.0,280010749,0.0,3.02,0.16934959349593495,0.5944783356327787
1.0,6151149885,0.0,6.01,0.8280246913580246,1.8223593359660755
1.0,194625568,0.0,5.77,1.02375,2.065035022186583
1.0,1063569622,0.0,5.49,1.295,2.1974872013279168
1.0,23182774,0.0,4.18,0.48309523809523836,1.0345836633941874
1.0,250920859,0.0,5.15,0.4756756756756758,1.1496147677000823
1.0,698363912,0.0,5.72,0.5413966480446925,1.2302625504622846
1.0,23216375,0.0,5.49,0.78378640776699,1.468397897473173
1.0,359095569,0.05,3.87,0.4572727272727272,1.1323258445261322
1.0,10741754,0.0,4.1,0.9822175141242917,1.018994303064878
1.0,7878279511,0.0,2.67,0.2514285714285714,0.7483667931855723
1.0,261671452,0.0,2.01,0.1745564516129033,0.4182329862748879
1.0,727429513,0.0,2.32,0.14666666666666664,0.5429982125417443
0.0,251144041,0.0,3.87,1.8566666666666667,1.7586287271621601
0.0,82682796,0.0,6.96,0.575391804457228,0.9402535864385112
0.0,1170999207,0.0,5.83,2.1281818181818184,2.6562899622662366
0.0,24218743,0.0,5.05,0.6002500000000001,1.5206147331479685
0.0,251133631,0.0,0.16,0.026875000000000003,0.05224541447183028
0.0,711885233,0.0,0.77,0.08628571428571435,0.10430128361614328
0.0,435483355,0.0,0.04,0.008421052631578947,0.013022697235014478
0.0,251110825,0.0,2.97,0.7735714285714286,1.1991638570453815
