timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
6.00;0.00;0.00;0.00;0.00;0.00;258.92;HBEFA3/PC_G_EU4;0.00;0.00;veh1;170644473_1;66.33;138.51;!veh1!var#1;19.98;veh_passenger;0.00;23.748416;37.974943
6.00;164.78;2624.72;0.81;1.20;0.07;57.03;HBEFA3/PC_G_EU4;0.00;837.22;veh10;23182833#1_0;55.94;5.10;!veh10!var#1;0.00;veh_passenger;0.00;23.737097;37.977466
6.00;100.58;4972.20;0.57;2.10;0.09;76.85;HBEFA3/PC_G_EU4;0.00;1585.91;veh2;61072226#0_0;65.61;25.13;!veh2!var#1;7.81;veh_passenger;0.00;23.737237;37.988933
6.00;139.94;7674.34;0.82;3.34;0.16;189.39;HBEFA3/PC_G_EU4;0.00;2447.75;veh3;260124785#3_1;70.00;28.47;!veh3!var#1;9.36;veh_passenger;0.00;23.730412;37.988338
6.00;0.00;0.00;0.00;0.00;0.00;291.65;HBEFA3/PC_G_EU4;0.00;0.00;veh4;1033862865#0_0;50.58;32.65;!veh4!var#1;5.59;veh_passenger;0.00;23.711957;37.971991
6.00;0.00;0.00;0.00;0.00;0.00;5.24;HBEFA3/PC_G_EU4;0.00;0.00;veh5;-173493700#2_0;70.14;89.54;!veh5!var#1;26.11;veh_passenger;0.00;23.747717;37.972308
6.00;146.76;4732.49;0.78;2.09;0.10;77.10;HBEFA3/PC_G_EU4;0.00;1509.47;veh6;50033135#1_0;68.44;10.24;!veh6!var#1;3.82;veh_passenger;0.00;23.736502;37.989819
6.00;0.00;0.00;0.00;0.00;0.00;291.65;HBEFA3/PC_G_EU4;0.00;0.00;veh7;1033862865#0_0;50.58;21.48;!veh7!var#1;5.94;veh_passenger;0.00;23.712073;37.971951
6.00;0.00;0.00;0.00;0.00;0.00;189.34;HBEFA3/PC_G_EU4;0.00;0.00;veh8;669874507_0;62.66;19.05;!veh8!var#1;13.95;veh_passenger;0.00;23.727709;37.991023
6.00;0.00;3604.81;0.08;1.10;0.05;191.35;HBEFA3/PC_G_EU4;0.00;1149.77;veh9;668697837#0_0;69.82;5.10;!veh9!var#1;22.16;veh_passenger;0.00;23.748082;37.990069
7.00;32.90;18932.18;6.61;151.99;3.46;328.92;HBEFA3/Bus;0.00;5990.42;bus0;44463548_0;75.09;36.05;!bus0!var#1;6.22;bus_bus;0.00;23.718785;37.986156
7.00;27.64;13246.34;5.87;114.07;2.86;55.39;HBEFA3/Bus;0.00;4190.70;bus1;741245822#0_0;73.88;7.92;!bus1!var#1;3.53;bus_bus;0.00;23.737167;37.982979
7.00;20.17;5286.11;4.85;60.75;2.01;126.34;HBEFA3/Bus;0.00;1671.11;bus2;734712582#2_0;67.11;5.14;!bus2!var#1;0.00;bus_bus;2.00;23.713364;37.977221
7.00;22.62;13284.44;5.83;104.23;2.47;115.38;HBEFA3/Bus;0.00;4204.49;bus3;23217626#0_0;75.64;12.10;!bus3!var#1;13.89;bus_bus;0.00;23.709461;37.982489
7.00;199.35;6834.31;0.95;1.47;0.34;239.25;HBEFA3/LDV_G_EU6;0.00;2180.08;motorcycle0;48651788#0_0;68.04;79.87;!motorcycle0!var#1;13.33;motorcycle_motorcycle;0.00;23.713998;37.989482
