timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
77.0,116.43,8183.88,0.73,3.47,0.16,189.32,HBEFA3/PC_G_EU4,0.0,2610.25,veh102,250756985#0_1,69.59,48.11,!veh102!var#1,13.55,veh_passenger,0.0,23.726725,37.983819
77.0,132.68,7668.8,0.79,3.31,0.16,235.4,HBEFA3/PC_G_EU4,0.0,2445.98,veh126,168725549#0_0,69.61,35.82,!veh126!var#1,10.1,veh_passenger,0.0,23.727721,37.984341
78.0,88.85,7194.91,0.58,2.97,0.14,189.32,HBEFA3/PC_G_EU4,0.0,2294.82,veh102,250756985#0_1,68.72,62.89,!veh102!var#1,14.79,veh_passenger,0.0,23.726693,37.983688
78.0,139.96,8872.72,0.85,3.83,0.18,233.42,HBEFA3/PC_G_EU4,0.0,2829.96,veh126,168725549#0_0,70.59,48.02,!veh126!var#1,12.2,veh_passenger,0.0,23.727609,37.984277
79.0,0.0,0.0,0.0,0.0,0.0,189.32,HBEFA3/PC_G_EU4,0.0,0.0,veh102,250756985#0_1,57.42,73.18,!veh102!var#1,10.29,veh_passenger,0.0,23.726671,37.983597
79.0,90.76,6924.6,0.58,2.88,0.13,272.82,HBEFA3/PC_G_EU4,0.0,2208.61,veh126,168725549#0_0,68.27,61.53,!veh126!var#1,13.51,veh_passenger,0.0,23.727464,37.984253
80.0,0.0,0.0,0.0,0.0,0.0,189.32,HBEFA3/PC_G_EU4,0.0,0.0,veh102,250756985#0_1,51.43,79.48,!veh102!var#1,6.29,veh_passenger,0.0,23.726657,37.983542
80.0,141.5,9893.72,0.88,4.23,0.21,280.21,HBEFA3/PC_G_EU4,0.0,3155.6,veh126,23184691#0_0,71.24,11.15,!veh126!var#1,15.36,veh_passenger,0.0,23.727295,37.984278
81.0,0.0,0.0,0.0,0.0,0.0,176.21,HBEFA3/PC_G_EU4,0.0,0.0,veh102,:7214467394_2_1,52.91,4.22,!veh102!var#1,4.82,veh_passenger,0.0,23.72666,37.9835
81.0,0.0,0.0,0.0,0.0,0.0,280.21,HBEFA3/PC_G_EU4,0.0,0.0,veh126,23184691#0_0,63.82,25.82,!veh126!var#1,14.66,veh_passenger,0.0,23.727132,37.984305
82.0,89.03,3003.72,0.47,1.24,0.05,78.1,HBEFA3/PC_G_EU4,0.0,958.08,veh102,280005152#0_2,61.02,0.12,!veh102!var#1,5.42,veh_passenger,0.0,23.726715,37.983504
82.0,0.0,0.0,0.0,0.0,0.0,280.14,HBEFA3/PC_G_EU4,0.0,0.0,veh126,23184691#0_0,57.26,35.98,!veh126!var#1,10.16,veh_passenger,0.0,23.727019,37.984324
83.0,104.81,4635.68,0.59,1.97,0.09,59.18,HBEFA3/PC_G_EU4,0.0,1478.58,veh102,280005152#0_2,65.14,6.96,!veh102!var#1,6.84,veh_passenger,0.0,23.726783,37.983534
83.0,0.0,0.0,0.0,0.0,0.0,280.14,HBEFA3/PC_G_EU4,0.0,0.0,veh126,23184691#0_0,50.08,41.67,!veh126!var#1,5.69,veh_passenger,0.0,23.726955,37.984334
84.0,95.15,4897.86,0.55,2.06,0.09,59.15,HBEFA3/PC_G_EU4,0.0,1562.2,veh102,:11271426328_3_2,65.4,6.14,!veh102!var#1,8.16,veh_passenger,0.0,23.726864,37.983569
84.0,0.0,0.0,0.0,0.0,0.0,280.14,HBEFA3/PC_G_EU4,0.0,0.0,veh126,23184691#0_0,41.87,43.59,!veh126!var#1,1.93,veh_passenger,0.0,23.726934,37.984338
85.0,116.52,6825.09,0.69,2.92,0.14,59.16,HBEFA3/PC_G_EU4,0.0,2176.88,veh102,280005152#2_2,68.33,6.71,!veh102!var#1,9.97,veh_passenger,0.0,23.726963,37.983613
85.0,156.62,2468.33,0.77,1.12,0.06,280.14,HBEFA3/PC_G_EU4,0.0,787.34,veh126,23184691#0_0,48.81,43.88,!veh126!var#1,0.28,veh_passenger,0.0,23.726931,37.984338
86.0,146.77,9194.84,0.89,3.98,0.19,59.35,HBEFA3/PC_G_EU4,0.0,2932.7,veh102,280005152#2_2,71.01,18.89,!veh102!var#1,12.18,veh_passenger,0.0,23.727085,37.983667
86.0,164.45,2621.74,0.81,1.2,0.07,280.14,HBEFA3/PC_G_EU4,0.0,836.27,veh126,23184691#0_0,54.77,43.89,!veh126!var#1,0.01,veh_passenger,1.0,23.726931,37.984338
87.0,134.36,9202.53,0.83,3.94,0.19,58.98,HBEFA3/PC_G_EU4,0.0,2935.15,veh102,280005152#2_2,70.64,32.94,!veh102!var#1,14.05,veh_passenger,0.0,23.727225,37.983728
87.0,164.67,2624.03,0.81,1.2,0.07,280.14,HBEFA3/PC_G_EU4,0.0,837.0,veh126,23184691#0_0,55.9,43.9,!veh126!var#1,0.01,veh_passenger,2.0,23.72693,37.984338
